id,category_id,skillset_name
1,1,"Installation and Configuration"
2,1,"Managing Machine Catalogs and Delivery Groups"
3,1,"Application Publishing"
4,1,"Profile Management"
5,1,"StoreFront Configuration"
6,1,"Citrix Policies"
7,1,"Monitoring and Troubleshooting"
8,1,"Citrix Director"
9,1,"Citrix Studio"
10,1,"Load Balancing"
11,2,"Cloud Connectors Installation"
12,2,"Workspace Configuration"
13,2,"Resource Locations"
14,2,"Subscription Management"
15,2,"Identity and Access Management"
16,2,"Monitoring and Analytics"
17,2,"Service Health and Performance"
18,2,"Disaster Recovery"
19,2,"Integration with On-Premises"
20,2,"Security Management"
21,3,"Load Balancing Configuration"
22,3,"SSL Offloading"
23,3,"Content Switching"
24,3,"Global Server Load Balancing (GSLB)"
25,3,"Application Firewall Configuration"
26,3,"NetScaler Gateway Setup"
27,3,"High Availability"
28,3,"Networking and TCP Optimization"
29,3,"Monitoring and Logging"
30,3,"Authentication, Authorization, and Auditing (AAA)"
31,4,"Installation and Configuration"
32,4,"Active Directory Management"
33,4,"Group Policy Management"
34,4,"DNS and DHCP Configuration"
35,4,"File and Storage Services"
36,4,"Windows Server Update Services (WSUS)"
37,4,"Performance Monitoring and Tuning"
38,4,"Backup and Restore"
39,4,"Remote Desktop Services (RDS)"
40,4,"PowerShell Scripting"
98,34,"EC2 Management"
99,34,"S3 Storage Solutions"
100,34,"VPC Configuration"
101,34,"IAM Policies and Roles"
102,34,"RDS Management"
103,34,"Lambda Functions"
104,34,"CloudFormation Templates"
105,34,"Route 53 DNS Management"
106,34,"CloudWatch Monitoring"
107,34,"Security Groups and Network ACLs"
108,35,"Azure Virtual Machines"
109,35,"Azure Storage Solutions"
110,35,"Azure Virtual Network (VNet) Configuration"
111,35,"Azure Active Directory (AD)"
112,35,"Azure SQL Database Management"
113,35,"Azure Functions"
114,35,"Azure Resource Manager (ARM) Templates"
115,35,"Azure DNS Management"
116,35,"Azure Monitor and Alerts"
117,35,"Azure Security Center"
118,37,"Advanced Load Balancing Techniques with Content Switching Policies"
119,37,"SSL Offloading, Certificate Management, and TLS 1.3 Configuration"
120,37,"Advanced Content Switching with Regex and Expressions"
121,37,"Global Server Load Balancing (GSLB) with Site Persistence"
122,37,"In-depth Troubleshooting using Command-Line Interface (CLI) and NITRO API"
123,37,"Advanced Application Firewall Configuration with Custom Rules"
124,37,"Optimizing Traffic Management with Rate Limiting and QoS Policies"
125,37,"Integrating Authentication and Authorization with SAML and OAuth"
126,37,"Advanced Secure Web Gateway Configuration with URL Filtering"
127,37,"Configuring and Managing NetScaler MAS (Management and Analytics System) for Large Scale Deployments"
128,41,"Verbal Communication"
129,41,"Nonverbal Communication"
130,41,"Listening Skills"
131,41,"Public Speaking"
132,41,"Written Communication"
133,41,"Emotional Intelligence"
134,41,"Presentation Skills"
135,41,"Persuasion and Influence"
136,41,"Conflict Resolution"
138,42,"Basic Understanding"
139,42,"Conversational Fluency"
140,42,"Professional Proficiency"
141,42,"Advanced Vocabulary"
142,42,"Grammar Accuracy"
143,42,"Pronunciation Clarity"
144,42,"Reading Comprehension"
145,42,"Writing Skills"
146,42,"Listening Comprehension"
147,42,"Public Speaking Proficiency"
148,43,"Analytical Thinking"
149,43,"Creative Problem Solving"
150,43,"Decision Making"
151,43,"Strategic Thinking"
152,43,"Root Cause Analysis"
153,43,Troubleshooting
154,43,Resourcefulness
155,43,"Risk Management"
156,43,"Innovative Solutions"
157,43,"Process Improvement"
160,46,Fundamentals
161,46,"OSI and TCP/IP Models"
162,46,"Switching Concepts"
163,46,"IPv4 and IPv6 Addressing"
164,46,VLANs
165,46,Routing
166,46,"Network Security (ACL, NAT)"
167,46,"WAN Technologies (MPLS, VPNs)"
168,46,Troubleshooting
169,46,"Cloud Networking"
170,41,"Interpersonal Skills"
171,47,"Linux Basic Commands"
172,47,"Linux Basic Troubleshooting"
173,47,"Docker Knowledge"
174,47,"Docker Containers"
175,47,"Python Scripting"
